Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
5.64,0.482141070535268,0,0.349425102247352,1,0,0,0
5.65,0.48264132066033,0,0.350732279380366,1,0,0,0
5.66,0.483141570785393,0,0.352047850766965,1,0,0,0
5.67,0.483641820910455,0,0.353371836819113,1,0,0,0
5.68,0.484142071035518,0,0.35470425761965,1,0,0,0
5.69,0.48464232116058,0,0.35604513291781,1,0,0,0
5.7,0.485142571285643,0,0.357394482124737,1,0,0,0
5.71,0.485642821410705,0,0.358752324308997,1,0,0,0
5.72,0.486143071535768,0,0.360118678192081,1,0,0,0
5.73,0.48664332166083,0,0.361493562143906,1,0,0,0
5.74,0.487143571785893,0,0.362876994178318,1,0,0,0
5.75,0.487643821910956,0,0.36426899194858,1,0,0,0
5.76,0.488144072036018,0,0.365669572742871,1,0,0,0
5.77,0.488644322161081,0,0.367078753479776,1,0,0,0
5.78,0.489144572286143,0,0.368496550703773,1,0,0,0
5.79,0.489644822411206,0,0.369922980580722,1,0,0,0
5.8,0.490145072536268,0,0.371358058893357,1,0,0,0
5.81,0.490645322661331,0,0.372801801036771,1,0,0,0
5.82,0.491145572786393,0,0.374254222013905,1,0,0,0
5.83,0.491645822911456,0,0.375715336431043,1,0,0,0
5.84,0.492146073036518,0,0.377185158493302,1,0,0,0
5.85,0.492646323161581,0,0.378663702000125,1,0,0,0
5.86,0.493146573286643,0,0.380150980340782,1,0,0,0
5.87,0.493646823411706,0,0.381647006489872,1,0,0,0
5.88,0.494147073536768,0,0.383151793002829,1,0,0,0
5.89,0.494647323661831,0,0.384665352011427,1,0,0,0
5.9,0.495147573786893,0,0.386187695219304,1,0,0,0
5.91,0.495647823911956,0,0.387718833897479,1,0,0,0
5.92,0.496148074037018,0,0.389258778879881,1,0,0,0
5.93,0.496648324162081,0,0.390807540558885,1,0,0,0
5.94,0.497148574287144,0,0.392365128880854,1,0,0,0
5.95,0.497648824412206,0,0.39393155334169,1,0,0,0
5.96,0.498149074537269,0,0.395506822982397,1,0,0,0
5.97,0.498649324662331,0,0.397090946384646,1,0,0,0
5.98,0.499149574787394,0,0.398683931666358,1,0,0,0
5.99,0.499649824912456,0,0.400285786477294,1,0,0,0
6,0.500150075037519,0,0.401896517994655,1,0,0,0
6.01,0.500650325162581,0,0.403516132918698,1,0,0,0
6.02,0.501150575287644,0,0.405144637468361,1,0,0,0
6.03,0.501650825412706,0,0.406782037376899,1,0,0,0
6.04,0.502151075537769,0,0.408428337887545,1,0,0,0
6.05,0.502651325662831,0,0.41008354374917,1,0,0,0
6.06,0.503151575787894,0,0.41174765921197,1,0,0,0
6.07,0.503651825912957,0,0.413420688023164,1,0,0,0
6.08,0.504152076038019,0,0.415102633422708,1,0,0,0
6.09,0.504652326163082,0,0.416793498139027,1,0,0,0
6.1,0.505152576288144,0,0.418493284384763,1,0,0,0
6.11,0.505652826413207,0,0.420201993852548,1,0,0,0
6.12,0.506153076538269,0,0.421919627710786,1,0,0,0
6.13,0.506653326663332,0,0.42364618659946,1,0,0,0
6.14,0.507153576788394,0,0.425381670625961,1,0,0,0
6.15,0.507653826913457,0,0.427126079360935,1,0,0,0
6.16,0.508154077038519,0,0.428879411834152,1,0,0,0
6.17,0.508654327163582,0,0.430641666530396,1,0,0,0
6.18,0.509154577288644,0,0.432412841385384,1,0,0,0
6.19,0.509654827413707,0,0.4341929337817,1,0,0,0
6.2,0.510155077538769,0,0.435981940544759,1,0,0,0
6.21,0.510655327663832,0,0.437779857938795,1,0,0,0
6.22,0.511155577788895,0,0.439586681662874,1,0,0,0
6.23,0.511655827913957,0,0.441402406846934,1,0,0,0
6.24,0.51215607803902,0,0.443227028047849,1,0,0,0
6.25,0.512656328164082,0,0.445060539245526,1,0,0,0
6.26,0.513156578289145,0,0.446902933839025,1,0,0,0
6.27,0.513656828414207,0,0.448754204642715,1,0,0,0
6.28,0.51415707853927,0,0.450614343882447,1,0,0,0
6.29,0.514657328664332,0,0.452483343191776,1,0,0,0
6.3,0.515157578789395,0,0.454361193608195,1,0,0,0
6.31,0.515657828914457,0,0.456247885569413,1,0,0,0
6.32,0.51615807903952,0,0.458143408909663,1,0,0,0
6.33,0.516658329164582,0,0.460047752856042,1,0,0,0
6.34,0.517158579289645,0,0.46196090602488,1,0,0,0
6.35,0.517658829414707,0,0.463882856418156,1,0,0,0
6.36,0.51815907953977,0,0.465813591419935,1,0,0,0
